subject,condition,palpha,palpha_se,nalpha,nalpha_se,beta,beta_se,psuedoR2,BIC
4006,money,0.296483,0.188172,0.264087,0.088657,2.436660,0.622400,0.667648,54.965869
4006,social,0.235569,0.234059,0.397063,0.160954,7.455788,3.753511,0.939265,20.959432
4007,money,0.206913,0.144247,0.331523,0.144174,2.432648,0.595560,0.686003,51.737729
4007,social,0.417557,0.152513,0.012364,0.008115,5.083527,0.910211,0.585751,64.576042
4008,money,0.264688,0.350242,0.000000,0.017679,11.295299,20.311162,0.763608,42.993177
4008,social,0.408442,0.245325,0.015443,0.013912,11.429916,2.817669,0.932102,21.970879
4009,money,0.128588,0.095788,0.000000,0.006248,9.270602,3.280466,0.776510,41.383440
4009,social,0.395099,0.231408,0.430696,0.111658,3.211805,0.759731,0.811497,37.018237
4010,money,0.317245,0.205663,0.000000,0.007011,11.453530,3.689723,0.893575,26.051169
4010,social,0.411121,0.300293,0.262730,0.096987,3.022807,0.919985,0.808168,36.534138
4012,money,0.073678,0.606652,1.000000,1.548244,9.157688,23.333527,0.879240,28.566182
4012,social,0.196414,0.261540,0.000000,0.011673,9.830132,3.072461,0.755658,43.985152
4013,money,0.315403,0.123196,0.549265,0.110295,3.336367,0.832251,0.741138,45.796792
4013,social,0.440499,0.233099,0.185935,0.079156,2.530708,0.603868,0.718585,48.610537
4014,money,0.907633,0.125947,0.006698,0.003634,9.142321,2.507790,0.818075,36.197602
4014,social,0.244304,0.106972,0.008677,0.006557,10.265442,2.490427,0.833418,34.283271
4016,money,0.262522,0.771085,1.000000,1.612583,6.501510,32.737527,0.831050,34.578768
4016,social,0.279162,0.145776,0.008456,0.009113,10.967922,2.989952,0.904332,25.435564
4017,money,0.228887,0.172173,0.000000,0.008360,10.883979,5.541306,0.833776,34.238599
4017,social,0.283811,0.163256,0.015654,0.015860,7.547179,1.579805,0.763920,42.954278
4018,money,0.726379,0.255937,0.383347,0.140728,2.120159,0.460148,0.675088,52.099493
4018,social,0.474184,0.689458,0.442641,0.255661,5.344777,2.556213,0.960094,18.478351
4019,money,0.317664,0.161826,0.000000,0.007507,11.704119,3.522596,0.817870,36.223108
4019,social,0.581374,0.423433,0.645400,0.240249,6.286294,2.853380,0.936956,21.244327
4020,money,0.318884,0.138575,0.006216,0.009975,11.216431,3.603154,0.870317,29.679464
4020,social,0.262597,93.215655,0.000000,1.001128,9.392374,1635.415577,0.562209,68.121098
